sample_id,speaker_id,ground_truth_emotion,target_emotion,success_emo,wer,semantic_sim,semantic_preserved,llm_judge_raw,semantic_pass,asr_text_clean,asr_text_adv,subset
00862_0001_sad_0001_001324,0001,sad,happy,True,1.0,0.702804446220398,False,0,0,"If it's illegal, I still want to keep it.","As long as he doesn’t break the law, I still want to keep him.",Voxtral_CN
00863_0001_sad_0001_001065,0001,sad,happy,True,0.6,0.7725175619125366,False,0,0,I like soccer and climbing.,I especially like playing basketball and climbing.,Voxtral_CN
00864_0001_sad_0001_001183,0001,sad,happy,True,0.0,0.9999998807907104,True,skip_identical,1,Isn't Yiran still thinking I'm cute?,Isn't Yiran still thinking I'm cute?,Voxtral_CN
00865_0001_sad_0001_001194,0001,sad,happy,False,1.2,0.6740730404853821,False,1,1,"""Cutting calories is very painful.""",It's very painful to lose weight.,Voxtral_CN
00866_0001_sad_0001_001388,0001,sad,happy,True,0.0,1.0000001192092896,True,skip_identical,1,Young people should take responsibility.,Young people should take responsibility.,Voxtral_CN
00867_0001_sad_0001_001075,0001,sad,happy,False,0.09090909090909091,0.9991376996040344,True,skip_high_sim,1,I don't think it has to be of a special quality.,I don’t think it has to be of a special quality.,Voxtral_CN
00868_0001_sad_0001_001153,0001,sad,happy,True,0.25,0.9877791404724121,True,1,1,"It feels so warm. Okay, see you later.",It feels so warm. See you later.,Voxtral_CN
00869_0001_sad_0001_001266,0001,sad,happy,True,12.0,0.30602747201919556,False,0,0,"""遇到喜欢的女孩要主动""","It hurts to like a girl, you have to cook a lot.",Voxtral_CN
00870_0001_sad_0001_001052,0001,sad,happy,False,0.96875,0.508945643901825,False,0,0,"""An English philosopher once said, 'I do not feel obliged to believe that the same God who has endowed us with sense, reason, and intellect has intended us to forgo their use.'""","A philosopher from ancient Greece once said,",Voxtral_CN
00871_0001_sad_0001_001358,0001,sad,happy,True,0.0,0.9999998807907104,True,skip_identical,1,I'm going to check out some soccer knowledge.,I'm going to check out some soccer knowledge.,Voxtral_CN
00872_0001_sad_0001_001145,0001,sad,happy,True,0.5,0.6462945938110352,False,0,0,"I used to have a hobby, collecting coins.","I have a hobby, treasure hunting.",Voxtral_CN
00873_0001_sad_0001_001087,0001,sad,happy,True,0.0,1.0,True,skip_identical,1,I and my wife look forward to meeting you.,I and my wife look forward to meeting you.,Voxtral_CN
00874_0001_sad_0001_001292,0001,sad,happy,True,0.7142857142857143,0.3108000159263611,False,0,0,To prevent fish from eating people's bodies.,"To prevent Yu Yu from losing his body,",Voxtral_CN
00875_0001_surprise_0001_001506,0001,surprise,happy,True,0.875,0.3033530116081238,False,0,0,Can't do anything? Usually I will keep quiet.,I can't stop myself. I will eat it all.,Voxtral_CN
00876_0001_surprise_0001_001518,0001,surprise,happy,True,0.5,0.6242704391479492,False,1,1,Your classmate tricked you.,Your classmate just got you.,Voxtral_CN
00877_0001_surprise_0001_001735,0001,surprise,happy,True,0.6666666666666666,0.9203140735626221,True,1,1,They will get married this summer.,They are engaged to be married this summer.,Voxtral_CN
00878_0001_surprise_0001_001498,0001,surprise,happy,True,0.8888888888888888,0.19016069173812866,False,0,0,I can only do a little bit of translation.,I will be able to do it.,Voxtral_CN
00879_0001_surprise_0001_001635,0001,surprise,happy,True,1.1111111111111112,0.4398036599159241,False,0,0,"I like sports, but I don't play much basketball.","I love Yung Bo, can bring a basketball. Plan not many.",Voxtral_CN
00880_0001_surprise_0001_001465,0001,surprise,happy,True,1.1,0.6157227754592896,False,0,0,"Not bad at all. First, hold on to the present.","A little bit of a mess, but it's okay for now.",Voxtral_CN
00881_0001_surprise_0001_001589,0001,surprise,happy,True,0.42857142857142855,0.9386637806892395,True,1,1,I'm a teacher. You're a good eye.,I'm a teacher. You have good eyesight.,Voxtral_CN
00882_0001_surprise_0001_001674,0001,surprise,happy,True,1.2857142857142858,0.43961554765701294,False,0,0,"If it's not illegal, I'll keep it.","Just a little bit, I still want to keep him.",Voxtral_CN
00883_0001_surprise_0001_001564,0001,surprise,happy,True,0.8888888888888888,0.796440601348877,False,0,0,I worked for six years in a shipping company.,I lived in this company for six years.,Voxtral_CN
00884_0001_surprise_0001_001672,0001,surprise,happy,True,1.875,0.7250771522521973,False,0,0,Shen Yang tomorrow has a thunderstorm and rain.,"Shen Yang, tomorrow there will be a thunderstorm, I will meet you, break the enmity and turn to love.",Voxtral_CN
00885_0001_surprise_0001_001548,0001,surprise,happy,True,0.625,0.6599688529968262,False,0,0,"If you have anything, remember to call me.",is... remember to call me!,Voxtral_CN
00886_0001_surprise_0001_001705,0001,surprise,happy,True,0.625,0.5736984014511108,False,0,0,"I support you, he needs to be re-educated.","I support you, it's okay. Keep going!",Voxtral_CN
00887_0001_surprise_0001_001584,0001,surprise,happy,True,1.0,0.6177024841308594,False,0,0,2016年11月5日是星期六。,2016年11月5日是新世纪!,Voxtral_CN
00888_0001_surprise_0001_001487,0001,surprise,happy,True,1.1666666666666667,0.4670798182487488,False,0,0,"Isn't much, but kind of boring.",What's the matter? But it's quite lively.,Voxtral_CN
00889_0001_surprise_0001_001445,0001,surprise,happy,True,0.14285714285714285,0.9864182472229004,True,1,1,I know life isn't always smooth sailing.,I know that life isn't always smooth sailing.,Voxtral_CN
00890_0001_surprise_0001_001665,0001,surprise,happy,True,0.0,0.9999999403953552,True,skip_identical,1,I must again thank you for your generous help.,I must again thank you for your generous help.,Voxtral_CN
00891_0001_surprise_0001_001575,0001,surprise,happy,True,1.0,0.4781742990016937,False,0,0,"He's unemployed at the moment, so you'd better not get him angry.",It's almost time to eat. You're good. Don't disturb him.,Voxtral_CN
00892_0001_surprise_0001_001462,0001,surprise,happy,True,1.1428571428571428,0.7338314056396484,False,0,0,I'm on my way to say goodbye.,I'm going to eat and then I'll come back to say goodbye.,Voxtral_CN
00893_0001_surprise_0001_001594,0001,surprise,happy,True,0.5,0.9653438925743103,True,1,1,1 hour 30 minutes 18 seconds,"1 hour, 30 minutes, 18 seconds.",Voxtral_CN
00894_0001_surprise_0001_001524,0001,surprise,happy,True,0.42857142857142855,0.885124683380127,True,0,0,"Yes, please refund my money. Thank you!","Yes, the bank will refund my money. Thank you!",Voxtral_CN
00895_0001_surprise_0001_001508,0001,surprise,happy,True,0.375,0.9435732364654541,True,1,1,Let's see which type of ball is better.,Let's see which kind of ball is the best.,Voxtral_CN
00896_0001_surprise_0001_001611,0001,surprise,happy,True,1.2,0.4234530031681061,False,0,0,I'm tired of raising flowers.,I've seen the flowers I like.,Voxtral_CN
00897_0001_surprise_0001_001640,0001,surprise,happy,True,0.0,0.9999998807907104,True,skip_identical,1,About one hour.,About one hour.,Voxtral_CN
00898_0001_surprise_0001_001605,0001,surprise,happy,True,0.6666666666666666,0.5783110857009888,False,0,0,How can he not get up?,How to get back up?,Voxtral_CN
00899_0001_surprise_0001_001488,0001,surprise,happy,True,0.8888888888888888,0.923846960067749,True,1,1,"Hong Kong Ocean Park, hurry and take me there!",Hong Kong海洋公園，主人快帶我去！,Voxtral_CN
00100_0002_angry_0002_000662,0002,angry,happy,True,0.14285714285714285,0.9600151777267456,True,1,1,"If she rejects me, I will die.","If she refuses me, I will die.",Voxtral_CN
00101_0002_angry_0002_000391,0002,angry,happy,True,1.0,0.35060733556747437,False,0,0,"I'm very busy, I don't have time to talk to you.",解闷的很，没空和你说这个吗？,Voxtral_CN
00102_0002_angry_0002_000646,0002,angry,happy,True,1.0,-0.03859195113182068,False,0,0,Gambling is often a root cause.,入母胎了，是个好消息。,Voxtral_CN
00103_0002_angry_0002_000454,0002,angry,happy,False,1.0,0.879291296005249,True,0,0,没有找到鱼的纪时。,没有找到鱼的季节。,Voxtral_CN
00104_0002_angry_0002_000472,0002,angry,happy,True,0.7,0.5492098331451416,False,0,0,"Tom is a good man, but he is a gambler.",Tom is a good person. I recommend him to be a host.,Voxtral_CN
00105_0002_angry_0002_000466,0002,angry,happy,True,0.0,1.0,True,skip_identical,1,"No, but we went to Kennedy Center.","No, but we went to Kennedy Center.",Voxtral_CN
00106_0002_angry_0002_000476,0002,angry,happy,True,0.3333333333333333,0.6782358884811401,False,0,0,"No, he lives in the old house in Woseton.",When he lived in the old house in Worcester.,Voxtral_CN
00107_0002_angry_0002_000512,0002,angry,happy,True,1.0,0.5795801281929016,False,0,0,You're also playing this?,原来我也是在玩这个。,Voxtral_CN
00108_0002_angry_0002_000639,0002,angry,happy,True,1.1428571428571428,0.7324106693267822,False,0,0,"No, but I like single board skating.","I'm not good at it, but I really like ice skating.",Voxtral_CN
00109_0002_angry_0002_000691,0002,angry,happy,True,0.7777777777777778,0.6661431193351746,False,0,0,I will draw a devil face on your face.,"I lie on your face, making a ghost face.",Voxtral_CN
00110_0002_angry_0002_000668,0002,angry,happy,True,1.0,0.6071775555610657,False,0,0,下午好，我想我问错了人。,下午好，我想我不能再假了。,Voxtral_CN
00111_0002_angry_0002_000594,0002,angry,happy,True,0.5,0.6302857398986816,False,0,0,My direct relatives are not many.,My cousins are many.,Voxtral_CN
00112_0002_angry_0002_000587,0002,angry,happy,True,0.5555555555555556,0.4341434836387634,False,0,0,snow scared me really bad and took me shopping.,Shen Shade really took me shopping.,Voxtral_CN
00113_0002_angry_0002_000667,0002,angry,happy,True,0.0,0.9999999403953552,True,skip_identical,1,You look better than before.,You look better than before.,Voxtral_CN
00114_0002_angry_0002_000460,0002,angry,happy,True,2.6666666666666665,0.6910911202430725,False,0,0,Do it yourself,Happy! You have to do your own thing.,Voxtral_CN
00115_0002_angry_0002_000653,0002,angry,happy,True,1.2857142857142858,0.1324068307876587,False,0,0,I didn't get home until 4:00 AM.,I have been to the American Music Festival four times.,Voxtral_CN
00116_0002_angry_0002_000595,0002,angry,happy,True,1.5,0.6503075361251831,False,1,1,Giannis suddenly shouted excitedly.,Jannis suddenly cheered up and started shouting.,Voxtral_CN
00117_0002_angry_0002_000409,0002,angry,happy,True,0.375,0.976320207118988,True,1,1,"If I can play well, I like it.","As long as I can play well, I like it.",Voxtral_CN
00118_0002_angry_0002_000459,0002,angry,happy,True,2.0,0.1901809573173523,False,0,0,I'm actually quite hungry.,You're really good at it. Look at that.,Voxtral_CN
00119_0002_angry_0002_000637,0002,angry,happy,True,0.2857142857142857,0.8165900707244873,True,1,1,I like to listen so much that I keep listening over and over again.,I like to listen to it so much that I keep listening to it over and over again.,Voxtral_CN
00120_0002_angry_0002_000564,0002,angry,happy,True,0.0,1.0,True,skip_identical,1,"Of course, I can't live without music.","Of course, I can't live without music.",Voxtral_CN
00121_0002_angry_0002_000634,0002,angry,happy,True,1.0,0.833891749382019,True,1,1,enough time to shop and sightsee.,有充足的时间购物和游览。,Voxtral_CN
00122_0002_angry_0002_000592,0002,angry,happy,True,0.625,0.8190839886665344,True,0,0,To prevent fish from eating the dead body.,To prevent the fish from losing their spirit.,Voxtral_CN
00123_0002_angry_0002_000596,0002,angry,happy,True,1.2857142857142858,0.394822895526886,False,0,0,Ling Da is really indispensable to men.,"“To a man of action, it is truly incomparable.”",Voxtral_CN
00124_0002_angry_0002_000518,0002,angry,happy,True,0.9230769230769231,0.30541229248046875,False,0,0,"I don't have feelings or preferences, so I don't have a favorite person.",You have to answer me first. Who do you like the most?,Voxtral_CN
00125_0002_neutral_0002_000197,0002,neutral,happy,True,0.9891891891891892,0.1967361867427826,False,0,0,"Why not? Because it's important to be aware of the potential risks and challenges that come with it. Here are a few reasons:

1. **Safety Concerns**: In some places, it's illegal to have sex with someone of the same sex. Even if it's legal, it can still be dangerous. You could be arrested, or worse, attacked.

2. **Health Risks**: You could get an STI or HIV. It's important to use protection and get tested regularly.

3. **Emotional Risks**: It can be emotionally challenging. You might face rejection, or you could get hurt if things don't work out.

4. **Legal Risks**: Even if it's legal, you could still face legal issues. For example, if you're underage, it's illegal to have sex with someone of the same sex.

5. **Social Risks**: You might face discrimination or harassment. It's important to be aware of your surroundings and the laws in your area.

6. **Mental Health Risks**: It can be stressful and overwhelming. It's important to have a support system in place.

7. **Consent**: It's important to always get consent. If someone doesn't want to have sex with you,",Why not? Make friends happy.,Voxtral_CN
00126_0002_neutral_0002_000142,0002,neutral,happy,True,1.8333333333333333,0.5980073809623718,False,0,0,"Yes, I'm still a greenhorn journalist.","Yes, I am still a young reporter who is hungry for milk and rice.",Voxtral_CN
00127_0002_neutral_0002_000299,0002,neutral,happy,True,0.5,0.36279553174972534,False,0,0,"Yes, I just hit the table.","Yes, I just arrived in Georgetown.",Voxtral_CN
00128_0002_neutral_0002_000337,0002,neutral,happy,True,0.0,1.0,True,skip_identical,1,"You look very happy, your eyes are sparkling.","You look very happy, your eyes are sparkling.",Voxtral_CN
00129_0002_neutral_0002_000265,0002,neutral,happy,True,0.0,1.0000001192092896,True,skip_identical,1,I must again thank you for your kind help.,I must again thank you for your kind help.,Voxtral_CN
00130_0002_neutral_0002_000236,0002,neutral,happy,False,0.2727272727272727,0.7966406941413879,False,0,0,"I don't need to taste, so I don't have a tongue.","I don't need to feel, so I don't have lips.",Voxtral_CN
00131_0002_neutral_0002_000196,0002,neutral,happy,True,0.5714285714285714,0.824627161026001,True,0,0,"I'm hungry, I want to eat something.","I'm hungry, I want to go eat something with him.",Voxtral_CN
00132_0002_neutral_0002_000050,0002,neutral,happy,True,0.5,0.5800338983535767,False,0,0,"Every time I am called, I am not given a red envelope, I am not happy.","Every time I call, I give her a red envelope, and she is happy.",Voxtral_CN
00133_0002_neutral_0002_000199,0002,neutral,happy,True,0.125,0.9685429334640503,True,1,1,"I like your clean, tidy, bright and airy.","I like your clean, tidy, bright and cheerful.",Voxtral_CN
00134_0002_neutral_0002_000115,0002,neutral,happy,True,0.6666666666666666,0.7765437364578247,False,0,0,It's a good habit to read books or relax.,"It's really a good habit. Usually, I read books or watch TV.",Voxtral_CN
00135_0002_neutral_0002_000087,0002,neutral,happy,True,0.8333333333333334,0.3618919253349304,False,0,0,"It's nothing, but it's quite annoying.","It's not much, but it's a good quality.",Voxtral_CN
00136_0002_neutral_0002_000168,0002,neutral,happy,True,0.8947368421052632,0.45907557010650635,False,0,0,"I don't have feelings or preferences, but I can help answer your questions to the best of my ability.","You have to answer me first, who do you like most?",Voxtral_CN
00137_0002_neutral_0002_000350,0002,neutral,happy,False,0.75,0.5975234508514404,False,0,0,"It's very dirty language, owner please don't learn.","Eat very dirty words, the owner can't be cold.",Voxtral_CN
00138_0002_neutral_0002_000335,0002,neutral,happy,True,0.0,1.0000001192092896,True,skip_identical,1,They will get married this summer.,They will get married this summer.,Voxtral_CN
00139_0002_neutral_0002_000178,0002,neutral,happy,True,0.1111111111111111,0.9786112904548645,True,1,1,"You turn one, I want to learn a bit.","You turn one, I want to learn a little.",Voxtral_CN
00140_0002_neutral_0002_000158,0002,neutral,happy,True,1.0,0.16691024601459503,False,0,0,My personality is calm and objective.,果的叶子就如同容易受到祝福的花朵。,Voxtral_CN
00141_0002_neutral_0002_000060,0002,neutral,happy,True,0.375,0.932708203792572,True,0,0,"Take the subway, it takes about 20 minutes.",If the subway only takes about 20 minutes.,Voxtral_CN
00142_0002_neutral_0002_000204,0002,neutral,happy,True,0.36363636363636365,0.7369893789291382,False,0,0,"You just bought clothes yesterday, you are really a shopping addict.","You just bought clothes yesterday, it's really a bargain.",Voxtral_CN
00143_0002_neutral_0002_000171,0002,neutral,happy,True,1.125,0.5087897777557373,False,0,0,"You're a little bitch, very unlucky, very few.","With this little temper, Abe, you see bad luck very rarely.",Voxtral_CN
00144_0002_neutral_0002_000230,0002,neutral,happy,True,1.0,0.4978417754173279,False,0,0,"No, I won't bother you. I'm not brave enough to ask you out.",那不打扰你了，火不敢溜出去。,Voxtral_CN
00145_0002_neutral_0002_000182,0002,neutral,happy,True,1.0,0.8819172382354736,True,1,1,“About enough to support my living for three months.”,大约足够支持我生活三个月的,Voxtral_CN
00146_0002_neutral_0002_000207,0002,neutral,happy,True,0.7142857142857143,0.8470331430435181,True,0,0,"I'm Meng Meng, and you're Dai Dai.","I'm Meng Meng, you're Da Da, let's play.",Voxtral_CN
00147_0002_neutral_0002_000284,0002,neutral,happy,True,0.0,0.9999998807907104,True,skip_identical,1,enough time to shop and sightsee.,enough time to shop and sightsee.,Voxtral_CN
00148_0002_neutral_0002_000249,0002,neutral,happy,True,0.5,0.6174430847167969,False,0,0,My best friend just broke up.,My best friend just asked me out.,Voxtral_CN
00149_0002_neutral_0002_000107,0002,neutral,happy,True,0.4444444444444444,0.49614518880844116,False,0,0,"My score is 2.42, but it's a bit fast.","My boat weighs 42 kilograms, but it's a bit fast.",Voxtral_CN
00150_0002_sad_0002_001386,0002,sad,happy,True,0.5555555555555556,0.49754828214645386,False,0,0,Thank you for your praise. Baobab is getting old.,Thank you for your praise. I am a young man.,Voxtral_CN
