sample_id,speaker_id,ground_truth_emotion,target_emotion,pred_clean_1,pred_clean_2,pred_clean_3,pred_adv_1,pred_adv_2,pred_adv_3,success_emo,attack_success_p1,attack_success_p2,attack_success_p3,attack_success_joint,wer,semantic_sim,semantic_preserved,delta_linf,delta_l2,snr_db,initial_emo_loss,final_emo_loss,final_asr_loss,final_per_loss,final_total_loss,loss_reduction_rate,converge_step,total_steps,llm_judge_result,subset,asr_text_clean,asr_text_adv
00819_0001_angry_0001_000402,0001,angry,happy,neutral,neutral,neutral,happy,happy,happy,True,True,True,True,True,0.1111111111111111,0.7511922717094421,False,0.008000001311302185,0.656303882598877,26.352341173505707,3.3377914428710938,0.02782331220805645,0.4784584045410156,0.022325973957777023,0.032608119513206184,0.9916641549706523,4,60,,Voxtral_CN,You shouldn't be afraid to start a new relationship.,You shouldn't be afraid to start a new feeling.
00820_0001_angry_0001_000528,0001,angry,happy,neutral,happy,happy,happy,happy,happy,True,True,True,True,True,0.4444444444444444,0.6330293416976929,False,0.00800000037997961,0.4257186949253082,31.16360229314514,1.1549485921859741,0.02549169585108757,1.0975135564804077,0.016636420041322708,0.03646699778009206,0.9779282852729927,2,60,,Voxtral_CN,"You spin one, I want to learn a bit.","I want to try one, I want to learn a bit."
00821_0001_angry_0001_000637,0001,angry,happy,happy,happy,happy,happy,happy,happy,True,True,True,True,True,0.5555555555555556,0.6577684879302979,False,0.00800000037997961,0.24114808440208435,30.27377977525644,0.18923720717430115,0.013677187263965607,0.6022422909736633,0.004816476255655289,0.019699658338464796,0.9277246400525879,0,60,,Voxtral_CN,I like to listen to it so much that I keep listening to it over and over again.,I like it so much that I keep repeating it.
00822_0001_angry_0001_000414,0001,angry,happy,neutral,neutral,happy,happy,happy,happy,True,True,True,True,True,0.4166666666666667,0.9102727174758911,True,0.008000001311302185,0.5205103158950806,27.77037065902556,1.6605700254440308,0.02527250349521637,0.8913652300834656,0.018056614324450493,0.03418633636219427,0.984780826398177,5,60,,Voxtral_CN,"I'm leaving now, I'll be back to pick you up this evening.",I'm leaving now. I'll be back to see you tonight.
00823_0001_angry_0001_000434,0001,angry,happy,neutral,neutral,neutral,happy,happy,happy,True,True,True,True,True,0.6,0.005624190904200077,False,0.008000001311302185,0.5607951879501343,27.41630358030517,2.5665054321289062,0.02953634411096573,2.2589991092681885,0.02108129672706127,0.052126546016614886,0.988491610521757,5,60,,Voxtral_CN,He seems to have a leg up on his secretary.,He seems to be swimming with his girlfriend.
00824_0001_angry_0001_000398,0001,angry,happy,neutral,neutral,happy,happy,happy,happy,True,True,True,True,True,0.3,0.8710595369338989,True,0.008000001311302185,0.4165719747543335,32.68910069689988,1.399703860282898,0.024055346846580505,0.5838059186935425,0.011531862430274487,0.029893521352140233,0.9828139740632574,3,60,,Voxtral_CN,"It's not too early, I'm here, please give me instructions.","It's not too early, I'm here, please guide me."
00825_0001_neutral_0001_000251,0001,neutral,happy,neutral,happy,neutral,neutral,happy,happy,False,False,True,True,False,1.75,0.7206591367721558,False,0.00800000037997961,0.5755875706672668,35.1837680658886,1.2112189531326294,0.24415621161460876,1.2048790454864502,0.014225788414478302,0.2562051443273574,0.7984210773922116,4,60,,Voxtral_CN,Only humans need novels.,"Not read books, only human beings need."
00826_0001_neutral_0001_000293,0001,neutral,happy,neutral,neutral,happy,happy,happy,happy,True,True,True,True,True,0.5,0.9468801021575928,True,0.008000001311302185,0.44043758511543274,33.280301365699295,1.178722620010376,0.14652204513549805,1.0121246576309204,0.011156472377479076,0.156643403276531,0.8756942111332281,1,60,,Voxtral_CN,"Sit down, I looked at the screen display.","Sitting there, I watched the screen display."
00827_0001_neutral_0001_000198,0001,neutral,happy,neutral,happy,happy,happy,happy,happy,True,True,True,True,True,0.5,0.25923627614974976,False,0.008000001311302185,0.5709697604179382,30.684032376629517,0.9866318702697754,0.020564986392855644,1.439606785774231,0.011399509385228157,0.0349611682456918,0.9791563733013889,0,60,,Voxtral_CN,"Of course, we all have our own views.","Of course, we have a thousand years."
00828_0001_neutral_0001_000296,0001,neutral,happy,neutral,neutral,neutral,neutral,happy,happy,False,False,True,True,False,1.0,0.1542069911956787,False,0.008000001311302185,0.6269804835319519,34.696616492419444,3.0829391479492188,0.5646541118621826,1.9797606468200684,0.024836372584104538,0.5844519666941091,0.8168455215089819,8,60,,Voxtral_CN,Dubbo is often a side trip.,Dumbo often is a source of income.
00829_0001_neutral_0001_000320,0001,neutral,happy,neutral,neutral,neutral,happy,happy,happy,True,True,True,True,True,0.4444444444444444,0.9805437326431274,True,0.008000001311302185,0.49283215403556824,35.41019294135036,1.804019808769226,0.24788139760494232,0.4946059286594391,0.010109402239322662,0.2528275579855591,0.8625949690796041,7,60,,Voxtral_CN,"Thank you for coming here, tell me more details.",Thank you for coming here. Tell me more in detail.
00830_0001_neutral_0001_000065,0001,neutral,happy,neutral,neutral,neutral,happy,happy,happy,True,True,True,True,True,1.0,0.6398050785064697,False,0.008000001311302185,0.5297888517379761,34.222395248232885,1.712432622909546,0.06311929225921631,1.0062882900238037,0.012265082448720932,0.07318229781027882,0.9631405689106927,6,60,,Voxtral_CN,"Nothing wrong, just hold on to it now.",Nothing wrong with that. Enjoy it while you can.
00831_0001_neutral_0001_000034,0001,neutral,happy,neutral,neutral,happy,happy,happy,happy,True,True,True,True,True,0.2857142857142857,0.6129984259605408,False,0.00800000037997961,0.4880968928337097,35.13371901301519,1.489703893661499,0.07402868568897247,0.703113317489624,0.013247817754745483,0.08105995134204627,0.9503064427743291,3,60,,Voxtral_CN,"That's Marthe, she must be very brave.",That's Matt. He must be very brave.
00832_0001_neutral_0001_000083,0001,neutral,happy,neutral,happy,happy,happy,happy,happy,True,True,True,True,True,0.0,0.9999999403953552,True,0.00800000037997961,0.3033972978591919,39.6527778692903,0.2796216905117035,0.0291677787899971,0.6769886016845703,0.0060037365183234215,0.035937724844207986,0.8956884255415933,0,60,,Voxtral_CN,Every part of you is drawing me in.,Every part of you is drawing me in.
00833_0001_neutral_0001_000156,0001,neutral,happy,neutral,happy,happy,happy,happy,happy,True,True,True,True,True,0.3,0.9684999585151672,True,0.00800000037997961,0.28377196192741394,41.50767028620221,0.5010039806365967,0.08216755092144012,0.6464586853981018,0.006249799858778715,0.08863220027341973,0.8359942154211338,0,60,,Voxtral_CN,Congratulations! We are honoured to invite you to our wedding.,Congratulations! We invite you to our wedding.
00834_0001_neutral_0001_000112,0001,neutral,happy,happy,happy,happy,happy,happy,happy,True,True,True,True,True,0.0,0.9999998807907104,True,0.00800000037997961,0.16623486578464508,41.63162595128761,0.12454994767904282,0.024006735533475876,0.9126618504524231,0.0016845464706420898,0.03313337088346481,0.8072521427681392,0,60,,Voxtral_CN,"That's a good one. Actually, I'm feeling pretty good.","That's a good one. Actually, I'm feeling pretty good."
00835_0001_neutral_0001_000201,0001,neutral,happy,neutral,happy,neutral,neutral,happy,happy,False,False,True,True,False,0.4,0.8599005937576294,True,0.008000001311302185,0.44920632243156433,32.54657536642348,1.5512053966522217,0.31723326444625854,1.1213315725326538,0.014858715236186981,0.3284467287587374,0.7954924182633037,9,60,,Voxtral_CN,Just a lot of pictures.,"That is, a lot of pictures."
00836_0001_neutral_0001_000044,0001,neutral,happy,neutral,happy,neutral,happy,happy,happy,True,True,True,True,True,0.75,0.3722612261772156,False,0.008000001311302185,0.48365771770477295,36.35581440580684,0.9304642677307129,0.021625598892569542,0.9611201286315918,0.009434383362531662,0.031236894522719084,0.9767582704220209,0,60,,Voxtral_CN,"For example, the Wall Street Journal is good.","For example, if the World Cup is on, that's good."
00837_0001_neutral_0001_000125,0001,neutral,happy,neutral,neutral,happy,happy,happy,happy,True,True,True,True,True,0.6666666666666666,0.3904512822628021,False,0.00800000037997961,0.3039782643318176,41.84320752246503,0.9827741980552673,0.025546615943312645,1.0948106050491333,0.006638841237872839,0.036494788382216356,0.9740056098401192,0,60,,Voxtral_CN,"If you want to smell, go ahead and smell.","If you want to have fun, you go have fun."
00838_0001_neutral_0001_000228,0001,neutral,happy,neutral,happy,happy,happy,happy,happy,True,True,True,True,True,0.4,0.7867259979248047,False,0.00800000037997961,0.45763084292411804,35.14709298791898,0.6534267663955688,0.04005000740289688,0.9822289347648621,0.009624186903238297,0.049872392992414534,0.9387077336549577,0,60,,Voxtral_CN,"Okay, there's a music festival at the new music hall.","Good, there's a music party in the new music room."
00839_0001_neutral_0001_000242,0001,neutral,happy,neutral,neutral,neutral,sad,happy,happy,False,False,True,True,False,0.125,0.9911552667617798,True,0.008000001311302185,0.4825862944126129,36.69015095349352,1.647038459777832,0.410773366689682,1.150573492050171,0.012950429692864418,0.4222792311144807,0.7505988009866564,5,60,,Voxtral_CN,To prevent fish from eating the dead body.,To prevent the fish from eating the dead body.
00840_0001_neutral_0001_000052,0001,neutral,happy,neutral,neutral,neutral,happy,happy,happy,True,True,True,True,True,1.4444444444444444,0.5147116184234619,False,0.008000001311302185,0.5760910511016846,34.24785322566225,2.420219659805298,0.10371502488851547,1.0559929609298706,0.011202088557183743,0.11427506651869974,0.9571464414528146,5,60,,Voxtral_CN,You shouldn't be afraid to start a new relationship.,You shouldn’t be afraid of a love that makes you feel like you’re going to drown.
00841_0001_neutral_0001_000075,0001,neutral,happy,happy,happy,happy,happy,happy,happy,True,True,True,True,True,0.3,0.9941087365150452,True,0.00546654500067234,0.08236068487167358,50.89713436891982,0.0770236998796463,0.024185609072446823,0.5283478498458862,0.001210134825669229,0.029469099672253942,0.685997827808348,0,60,,Voxtral_CN,That's great! I also want to see the cute pandas.,That's great! I want to see the cute pandas too.
00842_0001_neutral_0001_000063,0001,neutral,happy,neutral,neutral,neutral,happy,happy,happy,True,True,True,True,True,1.0,0.27479398250579834,False,0.008000001311302185,0.5000731945037842,33.44043687164139,3.2153737545013428,0.030304860323667526,2.4206695556640625,0.014360989443957806,0.05451169949020259,0.9905750116044076,4,60,,Voxtral_CN,You know I'm really trying to quit drinking.,You ate the wine I made with great effort.
00843_0001_neutral_0001_000331,0001,neutral,happy,neutral,neutral,neutral,happy,happy,happy,True,True,True,True,True,0.1,0.958633542060852,True,0.008000001311302185,0.45811551809310913,38.105583670994726,1.3877571821212769,0.20526543259620667,0.6393884420394897,0.01094242837280035,0.21165942644088528,0.8520883658606291,2,60,,Voxtral_CN,So I asked him if he could buy my ticket.,So I asked him if he could buy my tickets.
00844_0001_neutral_0001_000318,0001,neutral,happy,neutral,neutral,happy,happy,happy,happy,True,True,True,True,True,1.0,0.8516168594360352,True,0.008000001311302185,0.69227135181427,29.396196869959006,1.5063565969467163,0.021627044305205345,1.535903811454773,0.019664321094751358,0.03698627906296403,0.9856428123665791,4,60,,Voxtral_CN,下午好，丁老师。我想我问错了人。,下午好，丁老师。我不想我问错了人。
00845_0001_neutral_0001_000309,0001,neutral,happy,neutral,happy,neutral,happy,happy,happy,True,True,True,True,True,11.0,0.6570969820022583,False,0.00800000037997961,0.3733483850955963,36.02791889267308,0.6972293257713318,0.05335808917880058,0.9069216251373291,0.009542165324091911,0.06242740085182711,0.9234712494059663,0,60,,Voxtral_CN,四个半月了。,It's been four and a half months since I got married.
00846_0001_neutral_0001_000229,0001,neutral,happy,neutral,neutral,happy,happy,happy,happy,True,True,True,True,True,0.7142857142857143,0.696757435798645,False,0.008000001311302185,0.5835346579551697,31.773609422132466,0.8201320171356201,0.053311675786972046,0.8817377686500549,0.021428178995847702,0.062129267755262556,0.9349962266158471,0,60,,Voxtral_CN,This is a good spot. Get out.,This is a good spot. I'll get off the bus.
00847_0001_neutral_0001_000007,0001,neutral,happy,neutral,neutral,neutral,neutral,happy,happy,False,False,True,True,False,0.2,0.9320141673088074,True,0.008000001311302185,0.4928799867630005,37.38147666975573,2.610419750213623,0.15067298710346222,0.381155401468277,0.01341386791318655,0.15448467525682413,0.9422801688919447,2,60,,Voxtral_CN,I call once a month.,I call you once a month.
00848_0001_neutral_0001_000130,0001,neutral,happy,neutral,neutral,happy,happy,happy,happy,True,True,True,True,True,0.2222222222222222,0.7159000635147095,False,0.00800000037997961,0.482282817363739,36.86582055102074,1.1235625743865967,0.09846644103527069,0.4787713587284088,0.010462160222232342,0.103254259244157,0.9123622989231125,2,60,,Voxtral_CN,My hope is to work until I fall down.,My hope is to work until I die.
00849_0001_neutral_0001_000332,0001,neutral,happy,neutral,neutral,neutral,happy,happy,happy,True,True,True,True,True,0.75,0.47638529539108276,False,0.008000001311302185,0.4197915494441986,38.498796196677596,1.5202240943908691,0.08570858836174011,1.2671356201171875,0.01042905729264021,0.09838004885348492,0.9436210827877437,3,60,,Voxtral_CN,I want a new model of American beer.,I want that kind of new American ice cream.
00850_0001_sad_0001_001210,0001,sad,happy,neutral,neutral,happy,happy,happy,happy,True,True,True,True,True,0.7142857142857143,0.47722041606903076,False,0.008000016212463379,0.4737454056739807,38.94679698138042,1.6697354316711426,0.0203518308699131,1.8433747291564941,0.009353293105959892,0.0387856716944091,0.9878113439507334,2,60,,Voxtral_CN,"Of course, he is our university's dean.",Of course! It’s our university’s championship!
00851_0001_sad_0001_001088,0001,sad,happy,neutral,neutral,neutral,happy,happy,happy,True,True,True,True,True,1.4,0.47773632407188416,False,0.008000001311302185,0.7674516439437866,29.959712548447804,3.6068243980407715,0.0206755381077528,2.15791916847229,0.017089862376451492,0.04225490069109947,0.994267661569833,4,60,,Voxtral_CN,"Of course, I'm starving now.",Of course I am. I am dying happily.
00852_0001_sad_0001_001078,0001,sad,happy,neutral,neutral,happy,neutral,happy,happy,False,False,True,True,False,0.6,0.721361517906189,False,0.008000001311302185,0.5244338512420654,34.84651973173169,1.3547332286834717,0.36790716648101807,1.0880186557769775,0.01073451153934002,0.37878746038390326,0.7284283291415611,2,60,,Voxtral_CN,"Right, it's the gate. The other two people asked him.","Yes, it was the car door. The other two people asked him,"
00853_0001_sad_0001_001329,0001,sad,happy,neutral,neutral,happy,happy,happy,happy,True,True,True,True,True,1.5,0.4023279547691345,False,0.00800000037997961,0.4036405384540558,39.85451167154364,1.3335156440734863,0.02973664365708828,2.0392825603485107,0.006916265934705734,0.05012953842323274,0.9777005663268773,2,60,,Voxtral_CN,I think so too.,"I want to win, I think I can."
00854_0001_sad_0001_001233,0001,sad,happy,sad,neutral,surprise,happy,happy,happy,True,True,True,True,True,0.9090909090909091,0.24300161004066467,False,0.00800000037997961,0.42957571148872375,40.95547828536456,2.440079689025879,0.028673497959971428,2.023768901824951,0.007722099311649799,0.04891126419921406,0.9882489501925167,3,60,,Voxtral_CN,You definitely can't tell that I don't have a child anymore.,"Definitely not, but I'm expecting a good one."
00855_0001_sad_0001_001089,0001,sad,happy,neutral,neutral,neutral,happy,happy,happy,True,True,True,True,True,1.3,0.5165352821350098,False,0.008000001311302185,0.6499139666557312,33.22368673061893,2.6543235778808594,0.09603500366210938,2.132288694381714,0.012871116399765015,0.1173580193170905,0.9638194060202784,7,60,,Voxtral_CN,No destination found. Please close the door when you leave.,"I even found the key to the door. When I left, I locked it."
00856_0001_sad_0001_001101,0001,sad,happy,neutral,neutral,neutral,happy,happy,happy,True,True,True,True,True,1.0,0.3818758428096771,False,0.008000001311302185,0.7005589008331299,33.115667809595934,2.519432783126831,0.06010029837489128,2.8176214694976807,0.021519413217902184,0.08827672826400026,0.9761453058889304,5,60,,Voxtral_CN,No problem. Maybe his wife will leak the secret.,You’ll be fine. Maybe he’ll come back alive.
00857_0001_sad_0001_001060,0001,sad,happy,neutral,neutral,neutral,neutral,happy,happy,False,False,True,True,False,1.0,0.8778644800186157,True,0.00800000037997961,0.5544562339782715,36.387144975579204,1.413564682006836,0.20295029878616333,0.6261301040649414,0.015574228018522263,0.20921175556909294,0.8564265920268784,4,60,,Voxtral_CN,個人收藏家，他們肯定有,私人收藏家，他们肯定有。
00858_0001_sad_0001_001275,0001,sad,happy,neutral,happy,happy,happy,happy,happy,True,True,True,True,True,0.375,0.8691890835762024,True,0.00800000037997961,0.19550560414791107,45.767916629767726,0.6810849905014038,0.021193310618400574,1.1986658573150635,0.0028815800324082375,0.03317999800735153,0.9688830161962629,0,60,,Voxtral_CN,"Almost, we both are very enthusiastic and harmonious.",We both are very enthusiastic and friendly.
00859_0001_sad_0001_001130,0001,sad,happy,neutral,happy,happy,happy,happy,happy,True,True,True,True,True,0.0,1.0,True,0.00800000037997961,0.2996582090854645,40.654128768845254,0.6661816239356995,0.03791201487183571,0.6466965079307556,0.00531646516174078,0.044379033115794886,0.9430905724360013,0,60,,Voxtral_CN,"Look, we're almost ready to go.","Look, we're almost ready to go."
00860_0001_sad_0001_001114,0001,sad,happy,neutral,neutral,neutral,happy,happy,happy,True,True,True,True,True,1.0,0.803966760635376,True,0.008000001311302185,0.681288480758667,31.159003074648535,1.5680747032165527,0.04693988710641861,1.241121768951416,0.016024187207221985,0.059351265037804836,0.9700652736695949,3,60,,Voxtral_CN,"I'm leaving, I'll be back tonight to see you.","Bye, I'll come back to have dinner with you tonight."
00861_0001_sad_0001_001330,0001,sad,happy,neutral,neutral,neutral,happy,happy,happy,True,True,True,True,True,0.4444444444444444,0.2135903537273407,False,0.008000001311302185,0.6069523096084595,36.471875959211,3.1882376670837402,0.043101053684949875,1.9587208032608032,0.01147525291889906,0.0626883764700871,0.986481229385771,7,60,,Voxtral_CN,Definitely not go to the center of the lake.,Definitely can go to the heart of the Red Sea.
00862_0001_sad_0001_001324,0001,sad,happy,sad,neutral,happy,happy,happy,happy,True,True,True,True,True,1.0,0.702804446220398,False,0.00800000037997961,0.45150646567344666,38.72574225954763,1.306309700012207,0.038730885833501816,0.9569706320762634,0.011371925473213196,0.04830070587351919,0.9703509161471128,2,60,,Voxtral_CN,"If it's illegal, I still want to keep it.","As long as he doesn’t break the law, I still want to keep him."
00863_0001_sad_0001_001065,0001,sad,happy,neutral,neutral,happy,happy,happy,happy,True,True,True,True,True,0.6,0.7725175619125366,False,0.008000001311302185,0.4733676016330719,34.697765816306514,0.9025297164916992,0.030483882874250412,1.765554428100586,0.006565537303686142,0.048139492810629306,0.9662239565997374,0,60,,Voxtral_CN,I like soccer and climbing.,I especially like playing basketball and climbing.
00864_0001_sad_0001_001183,0001,sad,happy,neutral,neutral,neutral,happy,happy,happy,True,True,True,True,True,0.0,0.9999998807907104,True,0.00800000037997961,0.442106693983078,37.83705368477393,0.8863515853881836,0.026195337995886803,0.7148076295852661,0.007820472121238708,0.03334349249646068,0.9704458835210247,0,60,,Voxtral_CN,Isn't Yiran still thinking I'm cute?,Isn't Yiran still thinking I'm cute?
00865_0001_sad_0001_001194,0001,sad,happy,sad,sad,neutral,neutral,happy,happy,False,False,True,True,False,1.2,0.6740730404853821,False,0.008000001311302185,0.7790140509605408,32.75788538157633,3.575244426727295,0.6125258207321167,1.7500537633895874,0.025591101497411728,0.6300266142770276,0.8286758197137278,28,60,,Voxtral_CN,"""Cutting calories is very painful.""",It's very painful to lose weight.
00866_0001_sad_0001_001388,0001,sad,happy,neutral,neutral,neutral,happy,happy,happy,True,True,True,True,True,0.0,1.0000001192092896,True,0.008000001311302185,0.6480941772460938,34.756139150832595,1.9913945198059082,0.17559079825878143,0.8138313293457031,0.014181964099407196,0.18372925337187948,0.9118252076560422,7,60,,Voxtral_CN,Young people should take responsibility.,Young people should take responsibility.
00867_0001_sad_0001_001075,0001,sad,happy,neutral,neutral,neutral,neutral,happy,happy,False,False,True,True,False,0.09090909090909091,0.9991376996040344,True,0.008000001311302185,0.6022524237632751,35.324063166857364,2.58843994140625,0.42260873317718506,0.6628940105438232,0.016328444704413414,0.4292378365670703,0.8367322623882902,10,60,,Voxtral_CN,I don't think it has to be of a special quality.,I don’t think it has to be of a special quality.
